time,total_frp,total_cofire,total_co2fire,total_pm2p5fire,country
2021-08-15,0.0,0.0,0.0,0.0,Myanmar
2021-08-16,0.0,0.0,0.0,0.0,Myanmar
2021-08-17,0.0,0.0,0.0,0.0,Myanmar
2021-08-18,0.0,0.0,0.0,0.0,Myanmar
2021-08-19,0.17150855064392098,1.67573190879011e-08,2.66250225422482e-07,1.4947728610437102e-09,Myanmar
2021-08-20,0.300139965489507,2.9418404379200096e-08,4.65937901594771e-07,2.58188039004015e-09,Myanmar
2021-08-21,0.16161382757127302,1.56401640527548e-08,2.6070335223948897e-07,1.44947670532858e-09,Myanmar
2021-08-22,0.105543725192547,1.0054391319513901e-08,1.6640639799447902e-07,9.05922947769255e-10,Myanmar
2021-08-23,0.0626665875315666,5.958157522911729e-09,9.98438380861444e-08,5.43553757559323e-10,Myanmar
2021-08-24,0.0626665875315666,5.958157522911729e-09,9.98438380861444e-08,5.43553757559323e-10,Myanmar
2021-08-25,0.0,0.0,0.0,0.0,Myanmar
2021-08-26,0.22757865488529197,2.19707068094266e-08,3.5500030648449897e-07,1.9477343626839197e-09,Myanmar
2021-08-27,0.0,0.0,0.0,0.0,Myanmar
2021-08-28,0.0,0.0,0.0,0.0,Myanmar
2021-08-29,0.0,0.0,0.0,0.0,Myanmar
2021-08-30,0.0,0.0,0.0,0.0,Myanmar
2021-08-31,0.0494736209511757,4.8410031538992396e-09,7.76563169324618e-08,4.07665318169492e-10,Myanmar
2021-08-01,0.0956490002572536,5.58577295528551e-09,8.875007573294619e-08,4.98257629599763e-10,Thailand
2021-08-02,0.0494736209511757,1.48953938072793e-09,1.6640639088905098e-08,1.3588843938983098e-10,Thailand
2021-08-03,0.155017342418432,5.5857728442632e-09,8.87500766211247e-08,4.98257629599763e-10,Thailand
2021-08-04,0.0,0.0,0.0,0.0,Thailand
2021-08-05,0.29354348033666605,9.30962140710534e-09,1.60859515041523e-07,8.153306640945599e-10,Thailand
2021-08-06,0.0857542753219604,4.09623357455757e-09,1.10937598662986e-07,3.17073034494797e-10,Thailand
2021-08-07,0.0659648273140192,1.8619242814210698e-09,2.21875193773258e-08,1.81184595104966e-10,Thailand
2021-08-08,0.5936834448948499,2.15983213536219e-08,3.60547188993365e-07,1.8118459094163e-09,Thailand
2021-08-09,0.0,0.0,0.0,0.0,Thailand
2021-08-10,0.20778920315206098,5.5857728442632e-09,8.320319633270401e-08,4.98257629599763e-10,Thailand
2021-08-11,0.12863140925765001,3.3514637731713e-09,4.99219172667154e-08,3.17073034494797e-10,Thailand
2021-08-12,0.290245233103633,9.682006196776172e-09,1.6640639266540802e-07,9.05922947769255e-10,Thailand
2021-08-13,0.12203493155539,3.7238485073309792e-09,7.765631826472941e-08,3.17073027555903e-10,Thailand
2021-08-14,0.0626665875315666,1.48953938072793e-09,2.21875193773258e-08,1.3588843938983098e-10,Thailand
2021-08-15,0.0626665875315666,1.48953938072793e-09,2.21875193773258e-08,1.3588843938983098e-10,Thailand
2021-08-16,0.0989472400397062,2.9790788724781704e-09,5.546879844331441e-08,2.71776892657449e-10,Thailand
2021-08-17,0.211087447591126,1.15439305337084e-08,1.94140793663422e-07,1.0418114010368698e-09,Thailand
2021-08-18,0.0527718625962734,5.21338794357007e-09,8.32031972208824e-08,4.5296147388462797e-10,Thailand
2021-08-19,0.9696829607710241,4.3569028107537404e-08,6.7671933878799e-07,3.94076480475514e-09,Thailand
2021-08-20,0.21108743920922302,5.58577295528551e-09,8.32031954445256e-08,4.52961487762416e-10,Thailand
2021-08-21,0.699227169156075,2.38326305357361e-08,3.88281590879558e-07,2.03832666717529e-09,Thailand
2021-08-22,0.9301040638238192,4.20794894484544e-08,6.87813091815315e-07,3.7595802929169e-09,Thailand
2021-08-23,0.21108744479715802,1.30334703030144e-08,2.05234549355282e-07,1.13240371246714e-09,Thailand
2021-08-24,1.20055986568332,3.35146369545569e-08,5.15859825078735e-07,3.0348419055581396e-09,Thailand
2021-08-25,0.174806792289019,4.468618364228401e-09,6.656255813197731e-08,4.0766533204727996e-10,Thailand
2021-08-26,0.0659648254513741,1.8619242814210698e-09,2.7734399665746403e-08,1.81184595104966e-10,Thailand
2021-08-27,0.0659648254513741,1.8619242814210698e-09,2.7734399665746403e-08,1.81184595104966e-10,Thailand
2021-08-28,0.0659648254513741,1.8619242814210698e-09,2.7734399665746403e-08,1.81184595104966e-10,Thailand
2021-08-29,0.0,0.0,0.0,0.0,Thailand
2021-08-30,0.451859058812261,2.01087825280055e-08,5.15859829519627e-07,1.67595748390426e-09,Thailand
2021-08-31,0.263859305530787,9.30962129608304e-09,2.1078143142005999e-07,7.70034508379425e-10,Thailand
2021-08-01,1.12799851037562,5.101672606588889e-08,1.10382909657147e-06,4.25783791557777e-09,Vietnam
2021-08-02,1.03894602879882,6.144349984360531e-08,1.02062589668606e-06,5.57142602886085e-09,Vietnam
2021-08-03,0.445262587629259,2.49497855153713e-08,4.1601598566032294e-07,2.26480739023982e-09,Vietnam
2021-08-04,0.15171910263598,5.5857728442632e-09,7.76563187088186e-08,4.98257629599763e-10,Vietnam
2021-08-05,0.719016613438725,4.17071039371386e-08,6.48984942674957e-07,3.7595801749557e-09,Vietnam
2021-08-06,1.16427919082344,8.11798982480738e-08,1.3035167629738e-06,7.2473835266428904e-09,Vietnam
2021-08-07,3.1893993513658603,2.2045183201146998e-07,3.62211260185319e-06,1.96585276668326e-08,Vietnam
